condition,vignette,sentence,writer,attncheck,choice1,choice2,choice_correct,kind
must,shellfish,"Writer 1: I broke out in hives shortly after eating shellfish last week. <p>
Writer 2: Because the shellfish must have caused my hives, I decided I’d never eat shellfish again. <p>
Writer 3. <b> My doctor let me know today that I have a rare disease that is to blame for my hives. </b>",Writer 3,What did the narrator eat in the story?,Shellfish,Peanuts,choice1,backshifting
bare,shellfish,"Writer 1: I broke out in hives shortly after eating shellfish last week. <p>
Writer 2: Because the shellfish caused my hives, I decided I’d never eat shellfish again. <p>
Writer 3. <b> My doctor let me know today that I have a rare disease that is to blame for my hives. </b>",Writer 3,What did the narrator eat in the story?,Shellfish,Peanuts,choice1,backshifting
clear,shellfish,"Writer 1: I broke out in hives shortly after eating shellfish last week. <p>
Writer 2: Because it was clear that the shellfish caused my hives, I decided I’d never eat shellfish again. <p>
Writer 3. <b> My doctor let me know today that I have a rare disease that is to blame for my hives. </b>",Writer 3,What did the narrator eat in the story?,Shellfish,Peanuts,choice1,backshifting
must,rain,"Writer 1: My roommate John's soaking wet shoes and jacket were hanging up to dry in our hallway. <p>
Writer 2: Because it must have been raining outside, I decided not to go on my daily jog. <p>
Writer 3: <b> John was sprayed by a sprinkler on his way home. It was sunny all day today.  </b>",Writer 3,What is the name of the roommate in the story?,John,Larry,choice1,backshifting
bare,rain,"Writer 1: My roommate John's soaking wet shoes and jacket were hanging up to dry in our hallway. <p>
Writer 2: Because it was raining outside, I decided not to go on my daily jog. <p>
Writer 3: <b> John was sprayed by a sprinkler on his way home. It was sunny all day today.  </b>",Writer 3,What is the name of the roommate in the story?,John,Larry,choice1,backshifting
clear,rain,"Writer 1: My roommate John's soaking wet shoes and jacket were hanging up to dry in our hallway. <p>
Writer 2: Because it was clear that it was raining outside, I decided not to go on my daily jog. <p>
Writer 3: <b> John was sprayed by a sprinkler on his way home. It was sunny all day today.  </b>",Writer 3,What is the name of the roommate in the story?,John,Larry,choice1,backshifting
must,dog,"Writer 1: There was cereal littered all over my kitchen floor this morning. <p>
Writer 2: Because my dog Fido must have gotten into the pantry last night, I sent him to the garage as punishment. <p>
Writer 3: <b> My wife told me later that I caused the mess in the kitchen while sleepwalking last night. </b>",Writer 3,What is the name of the dog in the story?,Snuffles,Fido,choice2,backshifting
bare,dog,"Writer 1: There was cereal littered all over my kitchen floor this morning. <p>
Writer 2: Because my dog Fido had gotten into the pantry last night, I sent him to the garage as punishment. <p>
Writer 3: <b> My wife told me later that I caused the mess in the kitchen while sleepwalking last night. </b>",Writer 3,What is the name of the dog in the story?,Snuffles,Fido,choice2,backshifting
clear,dog,"Writer 1: There was cereal littered all over my kitchen floor this morning. <p>
Writer 2: Because it was clear that my dog Fido had gotten into the pantry last night, I sent him to the garage as punishment. <p>
Writer 3: <b> My wife told me later that I caused the mess in the kitchen while sleepwalking last night. </b>",Writer 3,What is the name of the dog in the story?,Snuffles,Fido,choice2,backshifting
must,bus,"Writer 1: I got to my bus stop five minutes after my bus was scheduled to come. <p>
Writer 2: Because I must have missed my bus, I called an Uber. <p>
Writer 3: <b> My bus was running late this morning; it arrived at my bus stop shortly after my Uber came. </b>
",Writer 3,Where does the narrator go in the story?,The airport,The bus stop,choice2,backshifting
