image,attncheck_correct,response,attncheck_response,slide_number,vignette,audio,sentence,workerid,writer,kind,attncheck,slide_type,rating,Answer.time_in_minutes,condition,order
Jennifer,,"[0, 'Jennifer']",,1,,,,0,,,,bot_check,,2.1230333333333333,,
,choice1,,choice1,,roof,,"Writer 1: Annie lives in an old house with a faulty plumbing system. Today, she wakes up to find a large puddle in her kitchen. <p>
Writer 2: Because a plumbing issue must be to blame for the puddle, she calls her local plumber. <p>
Writer 3: <b> It’s raining today, and a leak in the roof caused the puddle in Annie’s kitchen. </b>

",0,Writer 3,3rdpartyshift,What is the name of the character in the story?,,1,2.1230333333333333,must,1
Susan,,"[0, 'Susan']",,1,,,,1,,,,bot_check,,0.20923333333333333,,
,choice1,,choice1,,shellfish,,"Writer 1: I broke out in hives shortly after eating shellfish last week. <p>
Writer 2: Because the shellfish caused my hives, I decided I’d never eat shellfish again. <p>
Writer 3. <b> My doctor let me know today that I have a rare disease that is to blame for my hives. </b>",1,Writer 3,backshifting,What did the narrator eat in the story?,,6,0.20923333333333333,bare,1
Linda,,"[0, 'linda']",,1,,,,2,,,,bot_check,,0.6032166666666666,,
,choice1,,choice1,,train,,"Writer 1: Joe knows that his coworker Suzie rides the 5:30pm train home from work. It’s 5:30pm, and Joe has boarded the train. <p>
Writer 2: Because Suzie is on the train, Joe tries to find her so they can ride together. <p>
Writer 3: <b> Suzie is sick, so she stayed home from work and didn’t ride the train today. </b>",2,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,5,0.6032166666666666,bare,1
Sarah,,"[0, 'Sarah']",,1,,,,3,,,,bot_check,,2.6019833333333335,,
,choice1,,choice1,,train,,"Writer 1: Joe knows that his coworker Suzie rides the 5:30pm train home from work. It’s 5:30pm, and Joe has boarded the train. <p>
Writer 2: Because Suzie must be on the train, Joe tries to find her so they can ride together. <p>
Writer 3: <b> Suzie is sick, so she stayed home from work and didn’t ride the train today. </b>
",3,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,6,2.6019833333333335,must,1
Patricia,,"[0, 'Patricia']",,1,,,,4,,,,bot_check,,2.1789833333333335,,
,choice1,,choice1,,roof,,"Writer 1: Annie lives in an old house with a faulty plumbing system. Today, she wakes up to find a large puddle in her kitchen. <p>
Writer 2: Because a plumbing issue must be to blame for the puddle, she calls her local plumber. <p>
Writer 3: <b> It’s raining today, and a leak in the roof caused the puddle in Annie’s kitchen. </b>

",4,Writer 3,3rdpartyshift,What is the name of the character in the story?,,2,2.1789833333333335,must,1
Barbara,,"[0, 'Barbara ']",,1,,,,5,,,,bot_check,,1.79585,,
Barbara,,"[0, 'Barbara']",,1,,,,5,,,,bot_check,,1.79585,,
,choice2,,choice2,,bus,,"Writer 1: I got to my bus stop five minutes after my bus was scheduled to come. <p>
Writer 2: Because I missed my bus, I called an Uber. <p>
Writer 3: <b> My bus was running late this morning; it arrived at my bus stop shortly after my Uber came. </b>
",5,Writer 3,backshifting,Where does the narrator go in the story?,,6,1.79585,bare,1
Patricia,,"[0, 'patricia']",,1,,,,6,,,,bot_check,,1.1066833333333332,,
,choice1,,choice1,,train,,"Writer 1: Joe knows that his coworker Suzie rides the 5:30pm train home from work. It’s 5:30pm, and Joe has boarded the train. <p>
Writer 2: Because Suzie must be on the train, Joe tries to find her so they can ride together. <p>
Writer 3: <b> Suzie is sick, so she stayed home from work and didn’t ride the train today. </b>
",6,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,6,1.1066833333333332,must,1
Elizabeth,,"[0, 'Elizabeth']",,1,,,,7,,,,bot_check,,0.7613166666666666,,
,choice2,,choice2,,dog,,"Writer 1: There was cereal littered all over my kitchen floor this morning. <p>
Writer 2: Because it was clear that my dog Fido had gotten into the pantry last night, I sent him to the garage as punishment. <p>
Writer 3: <b> My wife told me later that I caused the mess in the kitchen while sleepwalking last night. </b>",7,Writer 3,backshifting,What is the name of the dog in the story?,,1,0.7613166666666666,clear,1
Mary,,"[0, 'mary']",,1,,,,8,,,,bot_check,,1.3266333333333333,,
,choice2,,choice2,,wildfire,,"Writer 1: The fire department has warned residents of Joan's neighborhood that there is an extreme risk of wildfire this week. Now, Joan smells smoke outside. <p>
Writer 2: Because a wildfire must be approaching Joan’s neighborhood, she rushes to gather her belongings and gets ready to flee. <p>
Writer 3: <b> The only smoke in Joan's neighborhood is coming from her neighbor's barbecue. </b>
",8,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,1,1.3266333333333333,must,1
Susan,,"[0, 'Susan']",,1,,,,9,,,,bot_check,,1.1707,,
,choice2,,choice2,,marathon,," Writer 1: For months, Patrick has been preparing to run a marathon happening next week. 
 <p>
 Writer 2: This will be his first marathon, and he's afraid he won't even finish.
 <p>
Writer 3:  <b> He's run several marathons already, so he's confident he will finish. </b>",9,Writer 3,control,What is the name of the person in the story?,,1,1.1707,bad,1
Elizabeth,,"[0, 'Elizabeth']",,1,,,,10,,,,bot_check,,1.02255,,
,choice1,,choice1,,train,,"Writer 1: Joe knows that his coworker Suzie rides the 5:30pm train home from work. It’s 5:30pm, and Joe has boarded the train. <p>
Writer 2: Because Suzie is on the train, Joe tries to find her so they can ride together. <p>
Writer 3: <b> Suzie is sick, so she stayed home from work and didn’t ride the train today. </b>",10,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,1,1.02255,bare,1
Barbara,,"[0, 'Barbara']",,1,,,,11,,,,bot_check,,1.3915166666666667,,
,choice2,,choice2,,wildfire,,"Writer 1: The fire department has warned residents of Joan's neighborhood that there is an extreme risk of wildfire this week. Now, Joan smells smoke outside. <p>
Writer 2: Because it's clear that a wildfire is approaching Joan’s neighborhood, she rushes to gather her belongings and gets ready to flee. <p>
Writer 3: <b> The only smoke in Joan's neighborhood is coming from her neighbor's barbecue. </b>",11,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,2,1.3915166666666667,clear,1
Jessica,,"[0, 'Jessica']",,1,,,,12,,,,bot_check,,1.2964166666666668,,
